Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,106
2,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
3,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,192.168.100.4,87
4,UDP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,192.168.100.4,172.16.29.3,103
5,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,66
6,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,66
7,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
8,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,643
9,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,66
10,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,66
11,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
12,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
13,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,643
14,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,266
15,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
16,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,266
17,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,118
18,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,118
19,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,140
20,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,140
21,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,1354
22,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,595
23,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,207
24,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,1098
25,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,618
26,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,618
27,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,85
28,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
29,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,85
30,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,85
31,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,85
32,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
33,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
34,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
35,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
36,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
37,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
38,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
39,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,687
40,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,476
41,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
42,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,93
43,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,93
44,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,192.168.100.4,80
45,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,192.168.100.4,80
46,UDP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,192.168.100.4,172.16.29.3,126
47,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,483
48,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.227,66
49,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
50,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
51,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,535
